               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082106,            0.023155,            0.082672,            0.051405,            0.034446,           0.0040168,          0.00073208,            0.046431,            0.014173,             0.05835,           0.0033295,           0.0033295,            0.070034
                   1,            0.052156,            0.023778,             0.08036,            0.029269,            0.099861,            0.020576,            0.005988,            0.042807,           0.0099012,            0.055764,            0.006333,            0.006333,            0.039705
                   2,            0.046954,            0.020035,            0.079253,            0.094769,             0.21437,            0.065819,            0.024848,            0.037276,           0.0074415,            0.053777,           0.0090066,           0.0090066,           0.0090448
                   3,            0.042355,            0.018041,            0.077733,             0.11937,             0.50656,             0.16575,            0.081329,             0.02872,           0.0061448,            0.047768,            0.008515,            0.008515,            0.008515
                   4,             0.04013,            0.016669,            0.073326,             0.27852,             0.65591,              0.3749,             0.19615,            0.025706,              0.0054,            0.038298,            0.008515,            0.008515,            0.008515
                   5,            0.038574,              0.0158,            0.067133,             0.38215,             0.68907,              0.5293,              0.2432,            0.029872,            0.006035,             0.03161,             0.00802,             0.00802,             0.00802
                   6,            0.037802,            0.015046,            0.061682,             0.62151,              0.7842,             0.72561,             0.38142,            0.025455,           0.0049399,            0.022803,            0.007525,            0.007525,            0.007525
                   7,             0.03637,            0.014496,             0.05694,             0.68665,             0.86255,             0.81218,             0.50977,            0.020064,           0.0048222,            0.018119,             0.00703,             0.00703,             0.00703
                   8,            0.035288,            0.014184,            0.053138,             0.72054,             0.90473,             0.88293,             0.54088,            0.019635,            0.004429,            0.014035,            0.006535,            0.006535,            0.006535
                   9,            0.034277,            0.013772,            0.049408,             0.78067,             0.89951,             0.91825,             0.58181,            0.019452,           0.0041774,            0.012067,             0.00604,             0.00604,             0.00604
                  10,            0.033537,            0.013545,            0.046861,             0.80062,             0.92955,             0.92907,             0.55743,            0.020445,           0.0043504,            0.010454,            0.005545,            0.005545,            0.005545
                  11,            0.032864,            0.013118,            0.044471,             0.89545,             0.96083,             0.97398,             0.65233,            0.018424,           0.0038973,           0.0067205,             0.00505,             0.00505,             0.00505
                  12,            0.032236,            0.012867,            0.043277,             0.92511,             0.96643,             0.98428,             0.69156,              0.0166,           0.0038805,           0.0057366,            0.004555,            0.004555,            0.004555
                  13,            0.031301,            0.012694,            0.041053,             0.96343,              0.9746,             0.98827,             0.72275,            0.014851,           0.0036812,           0.0040489,             0.00406,             0.00406,             0.00406
                  14,            0.030634,            0.012343,            0.039472,             0.97123,             0.96995,             0.98761,             0.72555,            0.014547,           0.0036644,           0.0036283,            0.003565,            0.003565,            0.003565
                  15,            0.029864,            0.012253,            0.037811,             0.96043,             0.96996,             0.98706,             0.72767,            0.014422,           0.0035025,           0.0031176,             0.00307,             0.00307,             0.00307
                  16,            0.028794,            0.011969,            0.035921,              0.9845,             0.98471,             0.99231,              0.7331,             0.01443,           0.0034421,           0.0021251,            0.002575,            0.002575,            0.002575
                  17,            0.028077,            0.011705,            0.034675,             0.98903,             0.98345,             0.99193,             0.78261,            0.012538,           0.0033376,           0.0018563,             0.00208,             0.00208,             0.00208
                  18,            0.027185,            0.011515,            0.033396,             0.99052,             0.98624,               0.992,             0.77361,             0.01279,           0.0033088,           0.0015758,            0.001585,            0.001585,            0.001585
                  19,            0.026227,            0.011253,            0.032146,             0.98945,             0.98758,             0.99239,             0.78677,            0.012246,           0.0032348,           0.0013247,             0.00109,             0.00109,             0.00109
